"HonestPre";"ActuallyAre";"HACCT_9";"HACCT_14";"HACCT_22";"HACCT_30";"HACCT_10";"HACCT_1";"HACCT_43";"HACCT_26";"HACCT_2";"HACCT_6";"HACCT_25";"HACCT_49";"HACCT_AttentionHA";"Guide_1";"Guide_2";"Guide_3";"Guide_4";"Guide_5";"Guide_6";"Guide_7";"Guide_8";"GuideNY";"TACCT_10";"TACCT_13";"TACCT_19";"TACCT_23";"TACCT_26";"TACCT_31";"TACCT_35";"TACCT_38";"TACCT_41";"TACCT_49";"TACCT_AttentionTA";"RCI_1";"RCI_2";"RCI_3";"RCI_4";"RCI_5";"RCI_6";"RCI_7";"RCI_8";"RCI_9";"RCI_10";"STI_1";"STI_2";"STI_3";"STI_4";"STI_5";"STI_6";"STI_7";"STI_8";"AcctTo_1";"AcctTo_2";"AcctGod0no1yes";"AcctTo_3";"AcctTo_4";"AcctTo_5";"AcctTo_6";"AcctTo_7";"AcctTo_8";"AcctTo_9";"R_S_2x2";"R_S_Slider_4";"R_S_Slider_5";"Member";"Repair_AttentionRepair";"bNeutral";"RepX2_2new";"RepX2_3new";"RepX2_4new";"RepX2_12new";"RepX2_20new";"RepX2_17new";"RepX2_16new";"RepX2_5new";"RepX2_6new";"RepX2_9new";"RepX2_AttentionRepX2";"bfi1";"bfi2";"bfi2r";"bfi3";"bfi4";"bfi5";"bfi6";"bfi6r";"bfi7";"bfi8";"bfi8r";"bfi9";"bfi9r";"bfi10";"bfi11";"bfi12";"bfi12r";"bfi13";"bfi14";"bfi15";"bfi16";"bfi17";"bfi18";"bfi18r";"bfi19";"bfi20";"bfi21";"bfi21r";"bfi22";"bfi23";"bfi23r";"bfi24";"bfi24r";"bfi25";"bfi26";"bfi27";"bfi27r";"bfi28";"bfi29";"bfi30";"bfi31";"bfi31r";"bfi32";"bfi33";"bfi34";"bfi34r";"bfi35";"bfi35r";"bfi36";"bfi37";"bfi37r";"bfi38";"bfi39";"bfi40";"bfi41";"bfi41r";"bfi42";"bfi43";"bfi43r";"bfi44";"MLQ_MLQp1";"MLQ_MLQs2";"MLQ_MLQs3";"MLQ_MLQp4";"MLQ_MLQp5";"MLQ_MLQp6";"MLQ_MLQs7";"MLQ_MLQs8";"MLQ_MLQp9doR";"MLQ9rev";"MLQ_MLQs10";"FLmo_1";"FLmo_2";"FLmo_3";"FLmo_4";"FLmo_5";"FLmo_6";"FLmo_7";"FLmo_8";"FLmo_9";"FLmo_10";"FLmo_11";"FLmo_12";"FLmo_13";"FLmo_14";"SD_3";"SD_6";"SD_10";"SD_12";"SD_13";"SD13rev";"SD_15";"SD_16";"SD16rev";"SD_19";"SD_21";"SD21rev";"SD_26";"SD26rev";"SD_28";"SD_30";"SD_33";"SD33rev";"SDsumraw";"SDTotalUse";"Predict";"RepX2Tot6";"FLmoTot";"MLQPresence";"MLQSearch";"RCI10Tot";"STISpiritual";"STIGod";"STItot";"bfia";"bfic";"bfie";"bfin";"bfio";"HAcct11Tot";"TAcct10Tot"
1;1;4;5;5;4;5;4;5;5;5;5;5;5;2;1;NA;NA;NA;NA;NA;NA;NA;2;5;5;5;5;5;5;5;5;5;5;1;1;1;5;5;5;1;5;5;2;1;6;6;6;6;6;6;6;6;1;1;1;1;1;1;1;1;1;NA;1;90;100;NA;1;2;4;5;5;5;5;4;5;5;5;5;1;1;2;4;5;1;5;5;1;5;1;5;5;1;5;5;1;5;5;1;5;4;4;1;5;1;3;5;1;3;1;5;5;1;4;3;3;3;5;1;5;3;3;5;5;5;1;1;5;3;1;5;5;1;5;1;5;5;1;5;4;7;6;7;7;7;7;7;7;1;7;1;5;5;5;5;5;0;3;5;5;5;3;5;4;5;2;2;2;2;1;2;2;1;2;1;1;2;2;1;2;2;2;1;23;10;1;28;60;35;28;31;24;24;48;4,33333333333333;5;2,625;1;4,6;52;50
1;1;4;3;4;3;4;3;3;4;3;3;4;4;2;1;NA;NA;NA;NA;NA;NA;NA;2;5;5;5;5;5;5;5;5;5;5;1;3;5;4;5;5;5;4;5;5;5;6;6;5;6;6;6;6;5;NA;NA;1;1;NA;NA;NA;NA;1;NA;1;73;89;2;1;2;5;5;5;5;5;5;5;5;5;5;1;5;3;3;5;5;4;3;3;4;3;3;1;5;3;2;2;4;4;5;3;2;3;3;3;5;5;3;3;5;4;2;2;4;3;4;2;4;3;4;3;4;2;5;3;3;3;4;2;4;2;4;4;5;3;3;3;4;5;1;2;4;2;4;5;6;6;4;4;2;6;4;2;2;1;1;1;1;3;2;2;1;4;3;2;3;1;1;1;1;1;2;2;1;2;2;1;2;2;1;1;2;2;1;19;6;2;30;28;27;18;46;23;23;46;4;3,11111111111111;3,125;4,5;3,1;38;50
1;1;1;3;3;3;5;3;3;4;3;4;4;4;2;NA;1;NA;NA;NA;NA;NA;NA;2;3;3;1;2;2;2;3;3;2;2;1;2;3;3;1;3;2;1;3;4;3;4;4;3;3;4;4;4;4;NA;NA;0;NA;1;NA;NA;NA;NA;NA;2;54;53;1;1;2;4;5;4;3;1;3;2;4;3;2;1;4;3;3;3;4;3;3;3;4;3;3;3;3;3;2;2;4;4;4;4;3;2;1;5;3;3;2;4;3;2;4;2;4;2;3;2;4;1;4;4;4;2;2;1;3;3;3;3;2;3;3;1;3;4;3;3;2;2;4;2;4;6;7;6;4;3;2;2;5;3;6;3;3;2;3;3;3;3;2;2;2;3;3;3;3;1;1;2;1;1;2;1;1;2;1;1;2;1;2;1;1;1;2;19;6;1;20;38;20;23;25;15;15;30;3;2,88888888888889;2,875;3,5;3,1;36;23
1;1;5;5;5;5;5;5;5;5;5;5;5;5;2;NA;NA;NA;1;NA;NA;NA;NA;2;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;6;6;6;6;6;6;6;6;1;NA;0;NA;NA;NA;NA;NA;NA;NA;1;100;100;1;1;2;5;5;5;5;5;5;5;5;5;5;1;5;1;5;5;1;5;5;1;5;1;5;5;1;5;5;1;5;5;1;5;5;5;1;5;1;5;3;3;5;1;5;5;1;5;5;1;5;5;3;5;1;5;5;5;5;1;5;1;5;1;5;5;1;5;5;1;5;1;5;5;7;7;7;7;7;7;7;7;1;7;7;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;2;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;25;12;1;30;70;35;35;50;24;24;48;5;5;4,25;1,25;4,2;55;50
1;1;5;4;5;4;4;1;1;5;2;5;1;1;2;NA;NA;NA;1;NA;NA;NA;NA;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;0;NA;NA;1;1;1;1;NA;4;7;16;1;1;2;5;2;2;5;2;4;5;5;5;2;1;1;4;2;4;5;4;5;1;2;5;1;1;5;5;4;1;5;5;5;4;2;4;5;1;5;5;5;1;4;2;4;1;5;2;1;5;1;4;5;5;5;1;5;4;1;5;5;1;1;1;5;1;5;5;1;5;4;5;1;1;1;7;7;1;1;1;7;7;7;1;7;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;2;1;1;2;1;2;1;2;1;2;1;2;1;2;18;5;1;20;2;5;35;10;4;4;8;3,55555555555556;2,77777777777778;1,5;5;3,7;37;11
1;1;5;5;5;5;5;5;5;5;5;3;4;4;2;1;NA;NA;NA;NA;NA;NA;NA;2;5;5;5;5;4;4;5;5;4;5;1;3;5;4;4;4;4;2;3;1;2;5;5;5;5;5;5;6;5;1;1;1;1;1;1;1;1;1;NA;1;76;76;2;1;2;5;4;5;4;4;5;5;5;4;4;1;4;3;3;5;3;4;3;3;4;2;4;4;2;4;3;2;4;5;3;4;4;3;1;5;1;3;4;2;4;1;5;3;3;3;3;3;3;4;2;4;2;4;4;4;4;2;3;3;4;1;5;5;1;3;3;3;4;1;5;3;4;5;4;5;5;4;4;6;5;3;6;4;4;4;3;3;2;2;1;3;4;4;3;4;3;2;2;2;1;2;1;1;2;1;2;2;1;2;1;1;1;2;1;17;4;1;27;44;21;25;32;21;20;41;3,77777777777778;4,66666666666667;3,375;2,125;3,4;52;47
1;1;5;4;4;3;5;4;5;3;5;5;5;4;2;1;1;1;1;1;1;1;NA;2;5;4;5;4;5;4;3;4;5;4;1;5;4;3;5;4;3;4;5;3;4;6;5;6;4;5;4;5;6;1;NA;1;1;1;1;NA;1;NA;NA;1;58;57;2;1;2;3;4;5;3;2;4;5;2;4;5;1;4;4;2;5;4;4;5;1;5;4;2;5;1;4;5;4;2;5;4;5;4;5;4;2;5;4;5;1;4;5;1;4;2;4;5;4;2;3;4;5;4;2;5;4;5;1;3;3;4;5;1;4;5;4;4;2;4;5;1;4;6;7;5;7;5;6;6;7;6;2;5;5;5;5;5;5;4;3;5;5;3;3;4;4;5;1;1;2;1;2;1;2;1;2;1;1;2;2;1;1;2;2;1;18;5;1;21;61;26;30;40;22;19;41;3,33333333333333;3;3,25;3,25;3,9;47;43
1;1;5;5;5;5;5;5;5;5;5;5;5;5;2;1;NA;NA;NA;NA;NA;NA;NA;2;1;4;4;2;1;3;4;4;4;4;1;1;3;4;2;2;3;3;5;5;4;6;6;6;6;6;6;6;6;1;NA;0;NA;NA;NA;NA;NA;1;NA;1;61;39;2;1;2;5;5;5;5;5;5;5;5;5;4;1;5;3;3;5;1;5;1;5;5;1;5;2;4;5;4;1;5;5;2;4;5;1;1;5;2;3;1;5;5;1;5;4;2;4;5;1;5;5;4;5;1;5;5;5;5;1;2;4;5;1;5;5;1;4;1;5;5;4;2;1;7;7;7;7;7;7;7;5;1;7;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;2;2;2;2;1;2;1;2;2;1;2;2;1;2;2;2;1;23;10;1;30;70;35;31;32;24;24;48;4,33333333333333;4,66666666666667;4,875;2,125;4;55;31
1;1;5;5;5;5;5;5;5;5;5;5;5;5;2;1;NA;NA;NA;NA;NA;NA;NA;2;5;5;5;5;5;5;5;5;5;5;1;4;5;4;5;5;4;4;4;4;4;6;6;6;6;6;6;6;6;1;1;1;1;NA;NA;NA;NA;NA;NA;1;100;100;2;1;2;5;5;5;5;5;5;5;5;5;5;1;3;1;5;1;1;4;4;2;5;1;5;1;5;1;1;1;5;5;5;1;4;5;1;5;1;1;1;5;5;1;5;1;5;1;5;1;5;1;1;4;1;5;5;1;1;5;1;5;1;1;5;1;1;2;4;2;5;1;5;4;7;7;7;7;7;7;7;7;7;1;7;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;2;2;2;1;2;2;1;2;2;1;2;2;1;2;2;2;1;24;11;1;30;70;29;35;43;24;24;48;5;3,22222222222222;3,25;3;2,5;55;50
1;1;4;3;5;3;5;3;3;5;3;3;5;5;2;1;NA;NA;1;NA;NA;1;NA;2;4;5;3;4;5;4;5;5;3;5;1;2;1;3;4;4;4;5;4;4;1;5;6;4;4;4;6;6;6;1;1;1;1;1;NA;NA;1;1;NA;1;70;100;2;1;2;4;3;3;5;3;3;5;4;4;4;1;4;4;2;3;4;2;2;4;3;5;1;2;4;4;2;1;5;3;2;2;5;4;5;1;4;4;2;4;5;5;1;1;5;1;2;4;2;4;4;5;2;4;5;4;3;3;5;1;4;4;2;4;5;4;1;5;5;5;1;3;6;1;1;5;5;6;1;1;1;7;1;2;5;1;0;2;0;1;0;1;0;2;5;0;3;1;1;1;1;2;1;1;2;1;1;1;2;2;1;1;1;2;1;14;1;1;21;22;29;5;32;19;22;41;3,66666666666667;2,44444444444444;3,625;3,875;3,1;42;43
